Dataset,Count,Avg Atoms,Avg Density,Avg Volume,Metal %,Avg Void Frac
CoRE-COFs_1242-v7.0,500,242.872,0.5891912618055604,8969.91269919166,8.6,0.7054043690972198
CURATED-COFs\cifs,500,325.838,0.5955192631646621,10057.814870863675,7.3999999999999995,0.7022403684176689
GA_MOFs,500,68.114,1.0648325642360836,1435.7494837248807,100.0,0.4708795632873912
hMOF-mofdb,500,124.256,0.944330829432381,3148.877917221312,100.0,0.5346975610245736
MOF_database,500,75.702,0.9745270107838698,2063.1702345650137,100.0,0.5127364946080649
qmof_database\relaxed_structures,500,106.906,1.7247198098918157,1762.7985358920944,86.0,0.20520558641395722
qmof_database\unrelaxed_structures\other,500,102.166,0.7732910072746406,3416.833709596077,100.0,0.6138715405538788
